C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2026-02-20T00:00:00.000Z,0.027769818902015686,0.03007950447499752,0.029104564545883074,0.0008481685506891589,9,0,0.028528114780783653,0.028528114780783653,0.03007950447499752
2026-02-15T00:00:00.000Z,0.032983388751745224,0.03901439532637596,0.035679700784385204,0.002151350115581873,9,1,0.03535193204879761,0.03301769867539406,0.03901439532637596
2026-02-10T00:00:00.000Z,0.026593219488859177,0.030070500448346138,0.028331859968602657,0.0017386404797434807,9,7,0.030070500448346138,0.030070500448346138,0.030070500448346138
2026-02-08T00:00:00.000Z,0.03215595334768295,0.03510205075144768,0.03313798581560453,0.001388803634825413,9,6,0.03215595334768295,0.03215595334768295,0.03510205075144768
2026-02-06T00:00:00.000Z,0.02964518778026104,0.030370386317372322,0.03000778704881668,0.0003625992685556412,9,5,0.030370386317372322,0.02964518778026104,0.030370386317372322
2026-02-04T00:00:00.000Z,0.026405856013298035,0.02830912172794342,0.027069172718458705,0.000781793718264987,9,0,0.026405856013298035,0.026405856013298035,0.02830912172794342
2026-02-03T00:00:00.000Z,0.03131458908319473,0.037826307117938995,0.03397214785218239,0.002453923081976155,9,1,0.03422645106911659,0.03131458908319473,0.037826307117938995
2026-02-01T00:00:00.000Z,0.03249634429812431,0.03610809147357941,0.035489129937357373,0.0010992827104789199,9,0,0.03610809147357941,0.035455122590065,0.03610809147357941
2026-01-31T00:00:00.000Z,0.024369660764932632,0.030809106305241585,0.02781285117897722,0.00282020230553362,9,0,0.027562113478779793,0.024369660764932632,0.030809106305241585
2026-01-30T00:00:00.000Z,0.0328042134642601,0.03957509994506836,0.03394744421044985,0.002009531437269707,9,0,0.033222541213035583,0.0328042134642601,0.03957509994506836
2026-01-26T00:00:00.000Z,0.03178825229406357,0.033744268119335175,0.03296186178922653,0.0009582481401448738,9,4,0.033744268119335175,0.03178825229406357,0.033744268119335175
2026-01-25T00:00:00.000Z,0.03318256139755249,0.03639183193445206,0.03435223466820187,0.0011787750468739678,9,0,0.03420969098806381,0.03318256139755249,0.03639183193445206
2026-01-21T00:00:00.000Z,0.02276076003909111,0.023462343961000443,0.023072575115495257,0.00034861985362448305,9,0,0.02276076003909111,0.02276076003909111,0.023462343961000443
2026-01-20T00:00:00.000Z,0.02660391479730606,0.02660391479730606,0.02660391479730606,0,9,7,0.02660391479730606,0.02660391479730606,0.02660391479730606
2026-01-20T00:00:00.000Z,0.02660391479730606,0.02660391479730606,0.02660391479730606,0,9,7,0.02660391479730606,0.02660391479730606,0.02660391479730606
2026-01-19T00:00:00.000Z,0.02171606570482254,0.026080554351210594,0.024905269344647724,0.0017116619862676658,9,0,0.02566082775592804,0.02171606570482254,0.026080554351210594
2026-01-08T00:00:00.000Z,0.027180949226021767,0.02858526073396206,0.02811715689798196,0.000661998793441924,9,3,0.02858526073396206,0.027180949226021767,0.02858526073396206
2026-01-03T00:00:00.000Z,0.024017438292503357,0.029207494109869003,0.025530965791808233,0.00182627727425587,9,0,0.024017438292503357,0.024017438292503357,0.029207494109869003
2025-12-29T00:00:00.000Z,0.02902945503592491,0.02902945503592491,0.02902945503592491,0,9,8,0.02902945503592491,0.02902945503592491,0.02902945503592491
2025-12-25T00:00:00.000Z,0.03185780718922615,0.03341623395681381,0.032550441308153995,0.00077438848672917,9,0,0.03185780718922615,0.03185780718922615,0.03341623395681381
2025-12-24T00:00:00.000Z,0.0235616322606802,0.02663407474756241,0.024790609255433083,0.0015051832713818423,9,4,0.0235616322606802,0.0235616322606802,0.02663407474756241
2025-12-23T00:00:00.000Z,0.03103432059288025,0.03185755014419556,0.03130873044331869,0.0003880741321388085,9,3,0.03103432059288025,0.03103432059288025,0.03185755014419556
2025-12-22T00:00:00.000Z,0.030432090163230896,0.0330498069524765,0.03130466242631277,0.0012340035286009634,9,0,0.030432090163230896,0.030432090163230896,0.0330498069524765
2025-12-21T00:00:00.000Z,0.023327317088842392,0.023327317088842392,0.023327317088842392,0,9,8,0.023327317088842392,0.023327317088842392,0.023327317088842392
2025-12-17T00:00:00.000Z,0.030454043298959732,0.03256640210747719,0.031158162901798885,0.0009957754918678858,9,0,0.030454043298959732,0.030454043298959732,0.03256640210747719
2025-12-11T00:00:00.000Z,0.03247707709670067,0.035647012293338776,0.03383562075240271,0.0015687110906508694,9,2,0.03247707709670067,0.03247707709670067,0.035647012293338776
2025-12-10T00:00:00.000Z,0.0287250354886055,0.03076106123626232,0.030179339594074657,0.0009197826767632557,9,2,0.03076106123626232,0.0287250354886055,0.03076106123626232
2025-11-29T00:00:00.000Z,0.02503047324717045,0.027577722445130348,0.026597994069258373,0.0007967306245287221,9,0,0.02632366120815277,0.02632366120815277,0.027577722445130348
2025-11-28T00:00:00.000Z,0.02055233344435692,0.025846922770142555,0.023199628107249737,0.0026472946628928185,9,7,0.025846922770142555,0.025846922770142555,0.025846922770142555
2025-11-26T00:00:00.000Z,0.027245497331023216,0.02823559381067753,0.027864307630807158,0.00047932839710496664,9,1,0.02823559381067753,0.027245497331023216,0.02823559381067753
2025-11-25T00:00:00.000Z,0.03078719973564148,0.03185197338461876,0.03131958656013012,0.0005323868244886398,9,7,0.03185197338461876,0.03185197338461876,0.03185197338461876
