date,CO,NO2,SO2
2025-06-04,0.0263295782109101,1.75548385262e-05,
2025-06-05,0.0200331881642341,2.00992944883e-05,
2025-06-06,0.0291547154386838,3.29825961671e-05,
2025-06-10,0.0288143787533044,,
2025-06-11,0.0260090781375765,,
2025-06-12,0.0232685630520184,,
2025-06-14,,1.75790391949e-05,
2025-06-16,0.030504141934216,,
2025-06-17,0.0309718471641341,,
2025-06-18,0.0298845693469047,2.35253313197e-05,
2025-06-21,0.0262110121548175,,
2025-06-22,0.0246488153934478,,
2025-06-23,,6.124478204583284e-07,
2025-06-24,0.0331468023359775,2.62706726061e-05,
2025-06-27,0.0255091174816091,,
2025-06-29,0.0289820693433284,,
2025-06-30,0.0261526107788085,,
2025-07-01,0.0256682261824607,,
2025-07-02,0.0277784924954175,2.14365572901e-05,
2025-07-03,0.0262715561936299,,
2025-07-04,0.0270507540553808,,
2025-07-05,0.0245741425702969,,
2025-07-06,0.0263688576718171,,
2025-07-07,0.0243032407015562,,
2025-07-08,,-1.3605023241e-06,
2025-07-09,,2.02719766093e-05,
2025-07-10,0.0337691139429807,2.90549348089e-05,
2025-07-11,0.0243763284136851,,
2025-07-13,0.0251421465848882,,
2025-07-14,0.0231438983852664,1.75880260637e-05,
2025-07-15,0.027690072543919,2.68898979811e-05,
2025-07-16,,2.43611284531e-05,
2025-07-17,0.0245300115396579,4.03117980264e-05,
2025-07-18,0.0280892408142487,,
2025-07-19,0.0276304138824343,1.96056720596e-05,
2025-07-20,0.0281014665961265,1.64430998665e-05,
2025-07-21,0.0242737432320912,6.7261793598e-06,
2025-07-22,0.0298072847848137,1.53716396198e-05,
2025-07-23,0.0241310953473051,2.92390081995e-05,
2025-07-24,0.0270153942207495,3.4638953366e-05,
2025-07-25,,2.68870735453e-05,
2025-07-26,0.028598574300607,2.05074596427e-05,
2025-07-27,0.0273763850331306,,
2025-07-28,0.0293824166680375,3.39666148647e-05,
2025-07-29,0.0274769136061271,,
2025-07-30,0.0241598884264628,1.49110437632e-05,
2025-07-31,0.030825619585812,2.13877456189e-05,
2025-08-01,0.0256600193679332,2.3351842249e-06,
2025-08-02,0.0254151698201894,2.08307598465e-05,
2025-08-03,0.0275489930063486,1.66796799021e-05,
2025-08-04,0.0297007542103528,1.4809179144e-05,
2025-08-06,0.0282624115546544,2.11598756626e-05,
2025-08-07,0.0300089440618952,1.12665528035e-05,
2025-08-08,0.0248699359595775,8.6404718805e-06,
2025-08-09,0.0296135370930035,1.38040240926e-05,
2025-08-11,0.0334370397031307,,
2025-08-12,0.0251000877469778,,
2025-08-13,0.0276731941848993,1.9903449053e-05,
