tanggal,CO
2025-02-21,0.0319685240586598
2025-02-22,0.031464907592014583
2025-02-23,0.03096129112536937
2025-02-24,0.030457674658724156
2025-02-25,0.02995405819207894
2025-02-26,0.029450441725433728
2025-02-27,0.028946825258788514
2025-02-28,0.0284432087921433
2025-03-01,0.0325310072965092
2025-03-02,0.0313563669721285
2025-03-03,0.0296488031744956
2025-03-04,0.023536130785942
2025-03-05,0.0270497134576241
2025-03-06,0.025305678654048133
2025-03-07,0.02356164385047217
2025-03-08,0.0218176090468962
2025-03-09,0.0240260162390768
2025-03-10,0.0262344234312574
2025-03-11,0.0238979423625601
2025-03-12,0.0247704457077715
2025-03-13,0.025030063221319773
2025-03-14,0.02528968073486805
2025-03-15,0.025549298248416327
2025-03-16,0.0258089157619646
2025-03-17,0.0258977684591497
2025-03-18,0.0259866211563348
2025-03-19,0.02635198645293705
2025-03-20,0.0267173517495393
2025-03-21,0.029374223947525
2025-03-22,0.0258858781307935
2025-03-23,0.026511735386318576
2025-03-24,0.02713759264184365
2025-03-25,0.027763449897368724
2025-03-26,0.0283893071528938
2025-03-27,0.0299315837522347
2025-03-28,0.029694924255212078
2025-03-29,0.02945826475818946
2025-03-30,0.02922160526116684
2025-03-31,0.02898494576414422
2025-04-01,0.0287482862671216
2025-04-02,0.0279522877186536
2025-04-03,0.0349960178136825
2025-04-04,0.032208749403556135
2025-04-05,0.029421480993429765
2025-04-06,0.0266342125833034
2025-04-07,0.0246757652078356
2025-04-08,0.025599000768529
2025-04-09,0.025682058723436423
2025-04-10,0.02576511667834384
2025-04-11,0.025848174633251262
2025-04-12,0.02593123258815868
2025-04-13,0.0260142905430661
2025-04-14,0.027313550330560467
2025-04-15,0.028612810118054836
2025-04-16,0.0299120699055492
2025-04-17,0.0302791656660182
2025-04-18,0.0239363755616876
2025-04-19,0.0341689996421337
2025-04-20,0.0315437339660194
2025-04-21,0.0289184682899051
2025-04-22,0.0262932026137908
2025-04-23,0.026250151451677
2025-04-24,0.0259669255465269
2025-04-25,0.026999536280830648
2025-04-26,0.0280321470151344
2025-04-27,0.0291661651184161
2025-04-28,0.0235201844738589
2025-04-29,0.0243404919747263
2025-04-30,0.02673499577213075
2025-05-01,0.0291294995695352
2025-05-02,0.0275669833645224
2025-05-03,0.0260044671595096
2025-05-04,0.0258326958864927
2025-05-05,0.0257807365722126
2025-05-06,0.02629175823595785
2025-05-07,0.0268027798997031
2025-05-08,0.0266903898230305
2025-05-09,0.0265779997463579
2025-05-10,0.0264656096696853
2025-05-11,0.02720628937499385
2025-05-12,0.0279469690803024
2025-05-13,0.02868764878561095
2025-05-14,0.0294283284909195
2025-05-15,0.02859706746810975
2025-05-16,0.0277658064453
2025-05-17,0.02693454542249025
2025-05-18,0.0261032843996805
2025-05-19,0.02527202337687075
2025-05-20,0.024440762354061
2025-05-21,0.0298198480159044
2025-05-22,0.0294304624613788
2025-05-23,0.0290410769068532
2025-05-24,0.0286516913523276
2025-05-25,0.0230471980240609
2025-05-26,0.024665476133425967
2025-05-27,0.026283754242791033
2025-05-28,0.0279020323521561
2025-05-29,0.0264927736586994
2025-05-30,0.0279713264769978
2025-05-31,0.0272190826082671
2025-06-01,0.0264668387395364
2025-06-02,0.0257145948708057
2025-06-03,0.0244767870754003
2025-06-04,0.0260362431872636
2025-06-05,0.022772854194045
2025-06-06,0.0279379526360167
2025-06-07,0.0279461461607189
2025-06-08,0.0279543396854211
2025-06-09,0.0279625332101233
2025-06-10,0.0279707267348255
2025-06-11,0.025506162809001
2025-06-12,0.0230911264402998
2025-06-13,0.025449644862895852
2025-06-14,0.0278081632854919
2025-06-15,0.03016668170808795
2025-06-16,0.032525200130684
2025-06-17,0.0301457393086618
2025-06-18,0.0300507502896445
2025-06-19,0.028770837578035502
2025-06-20,0.0274909248664265
2025-06-21,0.0262110121548175
2025-06-22,0.0246488153934478
2025-06-23,0.02808785997331135
2025-06-24,0.0315269045531749
2025-06-25,0.029466420894971534
2025-06-26,0.02740593723676817
2025-06-27,0.0253454535785648
2025-06-28,0.027163761460946602
2025-06-29,0.0289820693433284
2025-06-30,0.0258172700802485
2025-07-01,0.0255676818390687
2025-07-02,0.0284952030827601
2025-07-03,0.0254642568114731
2025-07-04,0.0270507540553808
2025-07-05,0.0241996639718612
2025-07-06,0.0263701290306117
2025-07-07,0.0243032407015562
2025-07-08,0.0229217112064361
2025-07-09,0.02831193121771015
2025-07-10,0.0337021512289842
2025-07-11,0.0236251786765125
2025-07-12,0.024210196298857498
2025-07-13,0.0247952139212025
2025-07-14,0.0235291829125748
2025-07-15,0.0275108584513266
2025-07-16,0.0265876352787017
2025-07-17,0.0240155766821569
2025-07-18,0.0284036867734458
2025-07-19,0.0273473954035176
2025-07-20,0.027324557925264
2025-07-21,0.0257896189060476
2025-07-22,0.0290667762358983
2025-07-23,0.0243496197379297
2025-07-24,0.0262558971428208
2025-07-25,0.0277220276701781
2025-07-26,0.0291881581975354
2025-07-27,0.0271972306072711
2025-07-28,0.0297233774844143
2025-07-29,0.0267304204818275
2025-07-30,0.0234375413921144
2025-07-31,0.030419865830077
2025-08-01,0.0261658057570457
2025-08-02,0.0243589449673891
2025-08-03,0.0278341143081585
2025-08-04,0.0293335976699988
2025-08-05,0.02931200702571205
2025-08-06,0.0292904163814253
2025-08-07,0.0298780161473486
2025-08-08,0.0248350828058189
2025-08-09,0.028932194949852
2025-08-10,0.031184617326491353
2025-08-11,0.0334370397031307
2025-08-12,0.0251000877469778
2025-08-13,0.0274398519347111
2025-08-14,0.030641296878457
2025-08-15,0.0277997395023703
2025-08-16,0.0305309233566125
2025-08-17,0.0271813844641049
2025-08-18,0.0249800011515617
2025-08-19,0.0252527912250823
2025-08-20,0.0255255812986029
2025-08-21,0.02519866720669795
2025-08-22,0.024871753114793
2025-08-23,0.0286020508242978
2025-08-24,0.0253846012055873
2025-08-25,0.0294437476744254
2025-08-26,0.030651828377611053
2025-08-27,0.0318599090807967
2025-08-28,0.0229888316243886
2025-08-29,0.0260779841078652
2025-08-30,0.02753355478247
2025-08-31,0.028820127248764
2025-09-01,0.0294404570013284
2025-09-02,0.023719940541519
2025-09-03,0.0233443004803525
2025-09-04,0.0265732495380299
2025-09-05,0.0277395171837674
2025-09-06,0.0313157087990215
2025-09-07,0.0302093074257884
2025-09-08,0.02675781345793175
2025-09-09,0.0233063194900751
2025-09-10,0.026071887618551632
2025-09-11,0.028837455747028166
2025-09-12,0.0316030238755047
2025-09-13,0.0286337393853399
2025-09-14,0.0282955937501457
2025-09-15,0.0271776605397462
2025-09-16,0.025816212780773548
2025-09-17,0.0244547650218009
2025-09-18,0.0284285675734281
2025-09-19,0.0287768393754959
2025-09-20,0.0261107068508863
2025-09-21,0.0265085154937373
2025-09-22,0.0274274094651142
2025-09-23,0.0317123377074798
2025-09-24,0.0264491143946846
2025-09-25,0.0211858910818894
2025-09-26,0.0299210895318537
2025-09-27,0.030830602847143097
2025-09-28,0.0317401161624325
2025-09-29,0.03003927335763965
2025-09-30,0.0283384305528468
2025-10-01,0.02663758774805395
2025-10-02,0.0249367449432611
2025-10-03,0.0304289984051138
2025-10-04,0.0323211327195167
2025-10-05,0.0325242981521619
2025-10-06,0.0327274635848071
2025-10-07,0.032925797005494355
2025-10-08,0.03312413042618162
2025-10-09,0.03332246384686888
2025-10-10,0.03352079726755614
2025-10-11,0.0337191306882434
2025-10-12,0.0247986556755171
2025-10-13,0.025764396155459952
2025-10-14,0.0267301366354028
2025-10-15,0.0298226198647171
2025-10-16,0.0262157908744282
2025-10-17,0.026738805765355034
2025-10-18,0.027261820656281865
2025-10-19,0.0277848355472087
2025-10-20,0.027772034915095042
2025-10-21,0.027759234282981382
2025-10-22,0.027746433650867725
2025-10-23,0.027733633018754065
2025-10-24,0.027720832386640408
2025-10-25,0.027708031754526748
2025-10-26,0.02769523112241309
2025-10-27,0.027682430490299434
2025-10-28,0.027669629858185774
2025-10-29,0.027656829226072117
2025-10-30,0.027644028593958456
2025-10-31,0.0276312279618448
2025-11-01,0.027513027605083184
2025-11-02,0.02739482724832157
2025-11-03,0.027276626891559956
2025-11-04,0.027158426534798344
2025-11-05,0.027040226178036728
2025-11-06,0.026922025821275116
2025-11-07,0.0268038254645135
2025-11-08,0.02896476474901035
2025-11-09,0.0311257040335072
2025-11-10,0.03328664331800405
2025-11-11,0.0354475826025009
2025-11-12,0.034187141539795046
2025-11-13,0.032926700477089184
2025-11-14,0.03166625941438333
2025-11-15,0.030405818351677473
2025-11-16,0.029145377288971614
2025-11-17,0.027884936226265755
2025-11-18,0.0266244951635599
2025-11-19,0.027672494761645752
2025-11-20,0.0287204943597316
2025-11-21,0.0273944464408689
2025-11-22,0.0322410687804222
2025-11-23,0.0323252268135547
2025-11-24,0.0318224066868424
2025-11-25,0.0313195865601301
2025-11-26,0.0278643076308071
2025-11-27,0.0255319678690284
2025-11-28,0.0231996281072497
2025-11-29,0.0265979940692583
2025-11-30,0.02692357093515069
2025-12-01,0.027249147801043084
2025-12-02,0.027574724666935474
2025-12-03,0.027900301532827864
2025-12-04,0.028225878398720254
2025-12-05,0.028551455264612648
2025-12-06,0.028877032130505038
2025-12-07,0.029202608996397428
2025-12-08,0.029528185862289818
2025-12-09,0.02985376272818221
2025-12-10,0.0301793395940746
2025-12-11,0.0338356207524027
2025-12-12,0.03338937777730205
2025-12-13,0.0329431348022014
2025-12-14,0.03249689182710075
2025-12-15,0.032050648852000097
2025-12-16,0.03160440587689945
2025-12-17,0.0311581629017988
2025-12-18,0.029200451448559674
2025-12-19,0.02724273999532055
2025-12-20,0.025285028542081422
2025-12-21,0.0233273170888423
2025-12-22,0.0313046624263127
2025-12-23,0.0313087304433186
2025-12-24,0.024790609255433
2025-12-25,0.0325504413081539
2025-12-26,0.03167019474009665
2025-12-27,0.0307899481720394
2025-12-28,0.02990970160398215
2025-12-29,0.0290294550359249
2025-12-30,0.02832975718710156
2025-12-31,0.02763005933827822
2026-01-01,0.02693036148945488
2026-01-02,0.026230663640631542
2026-01-03,0.0255309657918082
2026-01-04,0.02604820401304294
2026-01-05,0.026565442234277682
2026-01-06,0.02708268045551242
2026-01-07,0.027599918676747163
2026-01-08,0.0281171568979819
2026-01-09,0.027825167120406065
2026-01-10,0.02753317734283023
2026-01-11,0.027241187565254392
2026-01-12,0.026949197787678555
2026-01-13,0.02665720801010272
2026-01-14,0.026365218232526882
2026-01-15,0.026073228454951046
2026-01-16,0.02578123867737521
2026-01-17,0.025489248899799373
2026-01-18,0.025197259122223536
2026-01-19,0.0249052693446477
2026-01-20,0.026603914797306
2026-01-21,0.0230725751154952
2026-01-22,0.02589249000367185
2026-01-23,0.0287124048918485
2026-01-24,0.03153231978002515
2026-01-25,0.0343522346682018
2026-01-26,0.0329618617892265
2026-01-27,0.03320825739453232
2026-01-28,0.033454652999838144
2026-01-29,0.033701048605143974
2026-01-30,0.0339474442104498
2026-01-31,0.0278128511789772
2026-02-01,0.0354891299373573
2026-02-02,0.034730638894769794
2026-02-03,0.0339721478521823
2026-02-04,0.0270691727184587
2026-02-05,0.02853847988363765
2026-02-06,0.0300077870488166
2026-02-07,0.03157288643221055
2026-02-08,0.0331379858156045
2026-02-09,0.03073492289210355
2026-02-10,0.0283318599686026
2026-02-11,0.02980142813175912
2026-02-12,0.031270996294915636
2026-02-13,0.032740564458072156
2026-02-14,0.03421013262122868
2026-02-15,0.03428740307895672
2026-02-16,0.03436467353668476
2026-02-17,0.03304964628898432
2026-02-18,0.03173461904128388
2026-02-19,0.03041959179358344
2026-02-20,0.029104564545883
