C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2026-01-26T00:00:00.000Z,0.000006569891411345452,0.00001166048605227843,0.000008266756291656444,0.0000023997293272504044,6,3,0.000006569891411345452,0.000006569891411345452,0.00001166048605227843
2026-01-25T00:00:00.000Z,0.0000035744785691349534,0.00002333908196305856,0.000015244579837296138,0.000007916727924697106,6,0,0.000022679485482512973,0.000009597473763278686,0.00002333908196305856
2026-01-24T00:00:00.000Z,0.000006497853519249475,0.000006497853519249475,0.000006497853519249475,0,6,5,0.000006497853519249475,0.000006497853519249475,0.000006497853519249475
2026-01-21T00:00:00.000Z,0.000028321304853307083,0.000028321304853307083,0.000028321304853307083,0,6,5,0.000028321304853307083,0.000028321304853307083,0.000028321304853307083
2026-01-20T00:00:00.000Z,0.00002143009078281466,0.00002272127676405944,0.00002207568377343705,6.455929906223901e-7,6,4,0.00002272127676405944,0.00002272127676405944,0.00002272127676405944
2026-01-19T00:00:00.000Z,0.000009149352990789339,0.000021704983737436123,0.000014956187745459223,0.000005825903587529517,6,0,0.000020292041881475598,0.000009149352990789339,0.000021704983737436123
2026-01-09T00:00:00.000Z,0.00002183807191613596,0.00004893011646345258,0.00003615306241044891,0.000009711269825844145,6,2,0.0000389070191886276,0.000034937042073579505,0.00004893011646345258
2026-01-08T00:00:00.000Z,0.00001637871901039034,0.00003554897921276279,0.000027872317635531847,0.000008407370442018578,6,0,0.000034228680306114256,0.00001637871901039034,0.00003554897921276279
2026-01-03T00:00:00.000Z,0.00003072714389418252,0.00003072714389418252,0.00003072714389418252,0,6,5,0.00003072714389418252,0.00003072714389418252,0.00003072714389418252
2026-01-01T00:00:00.000Z,0.000029021430236753076,0.000030725583201274276,0.000029873506719013676,8.520764822605997e-7,6,4,0.000030725583201274276,0.000030725583201274276,0.000030725583201274276
2025-12-30T00:00:00.000Z,0.000025075150915654376,0.000025075150915654376,0.000025075150915654376,0,6,4,0.000025075150915654376,0.000025075150915654376,0.000025075150915654376
2025-12-28T00:00:00.000Z,0.00000631510374660138,0.000026349125619162805,0.000019671118328308996,0.000009444128480351866,6,0,0.000026349125619162805,0.00000631510374660138,0.000026349125619162805
2025-12-28T00:00:00.000Z,0.00000631510374660138,0.000026349125619162805,0.000019671118328308996,0.000009444128480351866,6,0,0.000026349125619162805,0.00000631510374660138,0.000026349125619162805
2025-12-25T00:00:00.000Z,0.000012460805919545237,0.00002427593426546082,0.00001855170921771787,0.000004748592966152107,6,0,0.000018727765564108267,0.000012842049727623817,0.00002427593426546082
2025-12-24T00:00:00.000Z,0.00001813213930290658,0.00003226902481401339,0.000022216795969143277,0.000005821032633568345,6,2,0.000019233009879826568,0.000019233009879826568,0.00003226902481401339
