C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90
2026-08-10T00:00:00.000Z,-0.0002614447148516774,0.00029667920898646116,-0.000016776105136765793,0.00023063668817947406,6,0,0.000123462057672441,-0.00023183113080449402,0.00029667920898646116
2026-08-09T00:00:00.000Z,-0.00005427418363979086,0.0006948095397092402,0.00015537008706208627,0.0002716102608206648,6,0,0.0000726203215890564,-0.00005427418363979086,0.0006948095397092402
2026-08-08T00:00:00.000Z,-0.0003073515836149454,-0.0003073515836149454,-0.0003073515836149454,0,6,0,-0.0003073515836149454,-0.0003073515836149454,-0.0003073515836149454
2026-08-07T00:00:00.000Z,-0.00011211515811737627,0.00014670318341813982,-0.000025842377605537575,0.00012200813626347952,6,0,-0.00011211515811737627,-0.00011211515811737627,0.00014670318341813982
2026-08-06T00:00:00.000Z,-0.00002106731517415028,-0.00002106731517415028,-0.00002106731517415028,0,6,5,-0.00002106731517415028,-0.00002106731517415028,-0.00002106731517415028
2026-08-04T00:00:00.000Z,-0.00014731397095602006,-0.00014731397095602006,-0.00014731397095602006,0,6,4,-0.00014731397095602006,-0.00014731397095602006,-0.00014731397095602006
2026-08-03T00:00:00.000Z,-0.00001940535003086552,0.00016434631834272295,0.00003596959504648112,0.00005899051128836907,6,0,0.00001771915049175732,0.00001771915049175732,0.00016434631834272295
2026-08-02T00:00:00.000Z,-0.0002135506656486541,-0.00010055346501758322,-0.00017391692260086225,0.00003473099937906897,6,0,-0.00018234935123473406,-0.00018234935123473406,-0.00010055346501758322
2026-08-01T00:00:00.000Z,-0.0001508986606495455,0.00008032028563320637,0.000024927071838950116,0.00008008722575501937,6,0,0.000048532147047808394,0.00004275622632121667,0.00008032028563320637
2026-07-31T00:00:00.000Z,-0.00011499390529934317,-0.00011499390529934317,-0.00011499390529934317,0,6,5,-0.00011499390529934317,-0.00011499390529934317,-0.00011499390529934317
2026-07-30T00:00:00.000Z,0.00041386112570762634,0.00041386112570762634,0.00041386112570762634,0,6,5,0.00041386112570762634,0.00041386112570762634,0.00041386112570762634
2026-07-28T00:00:00.000Z,-0.0011027210857719183,0.0001285202888539061,-0.00028189350268803537,0.0005804127501835779,6,3,0.0001285202888539061,0.0001285202888539061,0.0001285202888539061
2026-07-26T00:00:00.000Z,-0.00013617910735774785,0.00012301449896767735,0.000014379989200582106,0.00010988959496757554,6,3,0.00005630457599181682,0.00005630457599181682,0.00012301449896767735
2026-07-25T00:00:00.000Z,0.000006986691460042493,0.00020900399249512702,0.00009709266873869637,0.00009141566446101695,6,2,0.0001653932995395735,0.000006986691460042493,0.00020900399249512702
2026-07-24T00:00:00.000Z,-0.00023840871290303767,0.00011430837912485003,-0.00008256883120338898,0.00011659173910229722,6,0,-0.000025571041987859644,-0.00016008528473321348,0.00011430837912485003
2026-07-23T00:00:00.000Z,-0.00015980860916897655,-0.00012888139463029802,-0.00013919046614319086,0.000014579228749007179,6,0,-0.00012888139463029802,-0.00015980860916897655,-0.00012888139463029802
2026-07-22T00:00:00.000Z,-0.00019819947192445397,0.00020576907263603061,-0.00006354329040429244,0.00019043259816318577,6,0,-0.00019819947192445397,-0.00019819947192445397,0.00020576907263603061
2026-07-21T00:00:00.000Z,-0.0005078347167000175,-0.00017879372171591967,-0.00033136160345748067,0.00013495207567015615,6,0,-0.0002867644652724266,-0.0005078347167000175,-0.00017879372171591967
2026-07-18T00:00:00.000Z,-0.00008859392983140424,0.00002937729368568398,-0.000049270188659041495,0.00005561216808920466,6,3,-0.00008859392983140424,-0.00008859392983140424,0.00002937729368568398
2026-07-17T00:00:00.000Z,-0.00019185359997209162,0.0007875965093262494,0.00019121972218272276,0.0004273596496966586,6,0,-0.00002208374280598946,-0.00019185359997209162,0.0007875965093262494
2026-07-16T00:00:00.000Z,0.000019435938156675547,0.00008969948248704895,0.0000721335964044556,0.000030425007175018718,6,2,0.00008969948248704895,0.00008969948248704895,0.00008969948248704895
2026-07-12T00:00:00.000Z,-0.00032161170383915305,-0.0000019621618321252754,-0.0002576817954377475,0.00012785981680281112,6,1,-0.00032161170383915305,-0.00032161170383915305,-0.0000019621618321252754
2026-07-11T00:00:00.000Z,-0.0001585662248544395,0.000733902386855334,0.0002509227827734624,0.000368035964317948,6,0,0.00017743218631949276,-0.0001585662248544395,0.000733902386855334
2026-07-10T00:00:00.000Z,-0.00015788053860887885,0.00028422431205399334,0.0001485949233028805,0.00018478543497064026,6,0,0.00028422431205399334,-0.000060858696087962016,0.00028422431205399334
2026-07-10T00:00:00.000Z,-0.00015788053860887885,0.00028422431205399334,0.0001485949233028805,0.00018478543497064026,6,0,0.00028422431205399334,-0.000060858696087962016,0.00028422431205399334
2026-07-08T00:00:00.000Z,0.0002795976761262864,0.0006268053548410535,0.00045320151548366994,0.00017360383935738355,6,2,0.0006268053548410535,0.0002795976761262864,0.0006268053548410535
2026-07-07T00:00:00.000Z,-0.00033476497628726065,0.0002438075462123379,-0.000165140038006939,0.00020165303926184368,6,0,-0.0002425037237117067,-0.00033476497628726065,0.0002438075462123379
2026-07-05T00:00:00.000Z,0.00012045412586303428,0.00014335615560412407,0.00013877574965590612,0.000009160811896435917,6,1,0.00014335615560412407,0.00014335615560412407,0.00014335615560412407
2026-07-04T00:00:00.000Z,-0.000009553709787724074,0.0007484910311177373,0.0003853199696095544,0.0003102813231992042,6,3,0.00041702258749864995,0.00041702258749864995,0.0007484910311177373
2026-07-03T00:00:00.000Z,-0.00002701999073906336,0.00006449873035307974,0.000003486249624984339,0.0000431423388598498,6,3,-0.00002701999073906336,-0.00002701999073906336,0.00006449873035307974
2026-07-02T00:00:00.000Z,-0.00008995316602522507,0.0000804368028184399,0.000023640146537218243,0.00008032260161034671,6,0,0.0000804368028184399,-0.00008995316602522507,0.0000804368028184399
2026-07-01T00:00:00.000Z,-0.0003565881052054465,0.000652456481475383,0.000004768193927399504,0.00034066756665929415,6,0,-0.000018170308976550587,-0.0003565881052054465,0.000652456481475383
